branch,park_type,family,model,line
was there an inspection first (real lineage),needs-lineage,trade,energy__fed_eia861_sales_ult_cust_cs,energy__fed_eia861_sales_ult_cust_cs: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,energy__fed_eia861_sales_ult_cust_cs,energy__fed_eia861_sales_ult_cust_cs: harm lives in a different fact table
per person served,needs-population,place,energy__fed_eia861_service_territory,energy__fed_eia861_service_territory: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,filing,energy__fed_eia861_short_form,energy__fed_eia861_short_form: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,energy__fed_eia861_short_form,energy__fed_eia861_short_form: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,energy__fed_eia861_short_form,energy__fed_eia861_short_form: harm lives in a different fact table
per person served,needs-population,organization,energy__fed_eia861_utility_data,energy__fed_eia861_utility_data: no population/served column on the thing itself
per person served,needs-population,organization,energy__fed_eia_861_balancing_authority,energy__fed_eia_861_balancing_authority: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,enforcement,environment__epa_penalty_gap,environment__epa_penalty_gap: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,enforcement,environment__epa_penalty_gap,environment__epa_penalty_gap: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,enforcement,environment__epa_penalty_gap,environment__epa_penalty_gap: harm lives in a different fact table
per person served,needs-population,measurement,environment__fed_epa_air_emissions_poll_rpt_combined_emissions,environment__fed_epa_air_emissions_poll_rpt_combined_emissions: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,environment__fed_epa_air_emissions_poll_rpt_combined_emissions,environment__fed_epa_air_emissions_poll_rpt_combined_emissions: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,environment__fed_epa_air_emissions_poll_rpt_combined_emissions,environment__fed_epa_air_emissions_poll_rpt_combined_emissions: harm lives in a different fact table
per person served,needs-population,facility,environment__fed_epa_aqs_sites,environment__fed_epa_aqs_sites: no population/served column on the thing itself
per person served,needs-population,facility,environment__fed_epa_egrid_plant_2022,environment__fed_epa_egrid_plant_2022: no population/served column on the thing itself
multi-year trending,needs-history,facility,environment__fed_epa_egrid_plant_2022,"environment__fed_epa_egrid_plant_2022: single-year table — history exists at publisher, not loaded"
per person served,needs-population,facility,environment__fed_epa_envirofacts,environment__fed_epa_envirofacts: no population/served column on the thing itself
per person served,needs-population,facility,environment__fed_epa_frs_facilities,environment__fed_epa_frs_facilities: no population/served column on the thing itself
per person served,needs-population,facility,environment__fed_epa_frs_frs_facilities,environment__fed_epa_frs_frs_facilities: no population/served column on the thing itself
any trend over time,needs-history,facility,environment__fed_epa_frs_frs_facilities,environment__fed_epa_frs_frs_facilities: no date column — snapshot only
any trend over time,needs-history,code,environment__fed_epa_frs_frs_naics_codes,environment__fed_epa_frs_frs_naics_codes: no date column — snapshot only
any trend over time,needs-history,crosswalk,environment__fed_epa_frs_frs_program_links,environment__fed_epa_frs_frs_program_links: no date column — snapshot only
any trend over time,needs-history,code,environment__fed_epa_frs_frs_sic_codes,environment__fed_epa_frs_frs_sic_codes: no date column — snapshot only
per person served,needs-population,measurement,environment__fed_epa_ghgrp_emission,environment__fed_epa_ghgrp_emission: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,environment__fed_epa_ghgrp_emission,environment__fed_epa_ghgrp_emission: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,environment__fed_epa_ghgrp_emission,environment__fed_epa_ghgrp_emission: harm lives in a different fact table
per person served,needs-population,facility,environment__fed_epa_ghgrp_facility,environment__fed_epa_ghgrp_facility: no population/served column on the thing itself
per person served,needs-population,facility,environment__fed_epa_icis_air_icis_air_facilities,environment__fed_epa_icis_air_icis_air_facilities: no population/served column on the thing itself
any trend over time,needs-history,facility,environment__fed_epa_icis_air_icis_air_facilities,environment__fed_epa_icis_air_icis_air_facilities: no date column — snapshot only
per person served,needs-population,inspection,environment__fed_epa_icis_air_icis_air_fces_pces,environment__fed_epa_icis_air_icis_air_fces_pces: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,inspection,environment__fed_epa_icis_air_icis_air_fces_pces,environment__fed_epa_icis_air_icis_air_fces_pces: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,inspection,environment__fed_epa_icis_air_icis_air_fces_pces,environment__fed_epa_icis_air_icis_air_fces_pces: harm lives in a different fact table
per person served,needs-population,action,environment__fed_epa_icis_air_icis_air_formal_actions,environment__fed_epa_icis_air_icis_air_formal_actions: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,action,environment__fed_epa_icis_air_icis_air_formal_actions,environment__fed_epa_icis_air_icis_air_formal_actions: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,action,environment__fed_epa_icis_air_icis_air_formal_actions,environment__fed_epa_icis_air_icis_air_formal_actions: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,environment__fed_epa_icis_air_icis_air_formal_actions,environment__fed_epa_icis_air_icis_air_formal_actions: harm lives in a different fact table
per person served,needs-population,action,environment__fed_epa_icis_air_icis_air_informal_actions,environment__fed_epa_icis_air_icis_air_informal_actions: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,action,environment__fed_epa_icis_air_icis_air_informal_actions,environment__fed_epa_icis_air_icis_air_informal_actions: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,environment__fed_epa_icis_air_icis_air_informal_actions,environment__fed_epa_icis_air_icis_air_informal_actions: harm lives in a different fact table
any trend over time,needs-history,code,environment__fed_epa_icis_air_icis_air_pollutants,environment__fed_epa_icis_air_icis_air_pollutants: no date column — snapshot only
any trend over time,needs-history,code,environment__fed_epa_icis_air_icis_air_program_subparts,environment__fed_epa_icis_air_icis_air_program_subparts: no date column — snapshot only
per person served,needs-population,program,environment__fed_epa_icis_air_icis_air_programs,environment__fed_epa_icis_air_icis_air_programs: no population/served column on the thing itself
per person served,needs-population,measurement,environment__fed_epa_icis_air_icis_air_stack_tests,environment__fed_epa_icis_air_icis_air_stack_tests: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,environment__fed_epa_icis_air_icis_air_stack_tests,environment__fed_epa_icis_air_icis_air_stack_tests: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,environment__fed_epa_icis_air_icis_air_stack_tests,environment__fed_epa_icis_air_icis_air_stack_tests: harm lives in a different fact table
