id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
E46,HEALTH,nothing there,Are these 'triple owners' actually better or worse than others?,HEALTH__FED_CMS_FACILITY_AFFILIATION | HEALTH__FED_NURSINGHOME411,B hard ID,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN = HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
E47,HEALTH,found something,Were they already in financial trouble before converting?,HEALTH__FED_CMS_HCRIS | HEALTH__FED_CMS_POS_OTHER,B hard ID,HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_POS_OTHER.CCN [CCN],,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
E48,HEALTH,found something,Were their financial reports already bad beforehand?,HEALTH__FED_CMS_HCRIS | HEALTH__FED_CMS_POS_OTHER,B hard ID,HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_POS_OTHER.CCN [CCN],,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
E49,PROCUREMENT+RAW,found something,Did they win government contracts specifically during their ban?,PROCUREMENT__FED_SAM_EXCLUSIONS | FED_USASPENDING_CONTRACTS_FULL_R2,B hard ID,PROCUREMENT__FED_SAM_EXCLUSIONS.UEI = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_UEI [UEI/DUNS],,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
E50,HEALTH+HOUSING,nothing there,"Do new health care businesses pop up right after, chasing relief money?",HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ZIP_CODE = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DAMAGED_ZIP_CODE [ZIP],,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.INCORPORATION_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
E51,HEALTH,found a little,Does that label actually bring in more clinics?,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,A measured,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID [measured 1515 shared] ; HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_COUNTY_FIPS_CODE = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE [measured 2271 shared] ; HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_FIPS_CODE = HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE [measured 59 shared] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.BHCMIS_ORGANIZATION_ID = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID [measured 1515 shared] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_COUNTY_FIPS_CODE = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_COUNTY_FIPS_CODE [measured 2271 shared] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.STATE_FIPS_CODE = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.STATE_FIPS_CODE [measured 59 shared],,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.DESIGNATION_DATE | HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.DESIGNATION_LAST_UPDATE_DATE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.RECORD_CREATE_DATE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_ADDED_TO_SCOPE_DATE,,
E52,CROSS 3+,found a little,"Do wages, suicide, and overdose rates all get worse there?",JUSTICE__XC_VERA_INCARCERATION_TRENDS | ECONOMICS__FED_BLS_QCEW | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,A measured +gap,JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [measured 45 shared] ; JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS],,ECONOMICS__FED_BLS_QCEW.YEAR | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR,ECONOMICS__FED_BLS_QCEW x HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,
E53,ENVIRONMENT+RAW,nothing there,Do they get penalized less often than other neighborhoods?,ENVIRONMENT__FED_EPA_ECHO | DIM_TRACT,C geo,ENVIRONMENT__FED_EPA_ECHO.FIPS_CODE = DIM_TRACT.COUNTY_FIPS [COUNTY_FIPS],,ENVIRONMENT__FED_EPA_ECHO.DATE_LAST_FORMAL_ACTION | ENVIRONMENT__FED_EPA_ECHO.DATE_LAST_INSPECTION,,
E54,ECONOMICS+ENVIRONMENT,nothing there,Do they pay workers less than clean factories?,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | ECONOMICS__FED_BLS_QCEW,D name match,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.STATE_CODE = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [STATE],,ECONOMICS__FED_BLS_QCEW.YEAR | ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.EARLIEST_FRV_DETERM_DATE | ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY.HPV_DAYZERO_DATE,,
E55,ENVIRONMENT+HOUSING,nothing there,Is poor housing placed disproportionately near hazards?,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | ENVIRONMENT__FED_EPA_ECHO | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,C geo,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 = ENVIRONMENT__FED_EPA_ECHO.ZIP [ZIP],ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID = ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.PWSID [PWSID] then ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.ZIP_CODE = HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 [ZIP] ; ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID = ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.PWSID [PWSID] then ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS.ZIP_CODE = ENVIRONMENT__FED_EPA_ECHO.ZIP [ZIP],ENVIRONMENT__FED_EPA_ECHO.DATE_LAST_FORMAL_ACTION | ENVIRONMENT__FED_EPA_ECHO.DATE_LAST_INSPECTION | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_BEGIN_DATE | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_END_DATE,,
E56,HEALTH,nothing there,Do bonus and non-bonus doctors get similar industry money?,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | HEALTH__FED_CMS_OPEN_PAYMENTS,B hard ID,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
E57,HEALTH,found something,Are they also the ones industry pays the most?,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER | HEALTH__FED_CMS_OPEN_PAYMENTS,B hard ID,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER.RNDRNG_NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
E58,HEALTH,nothing there,Do states with more malpractice payouts also get more industry money?,HEALTH__FED_HRSA_NPDB | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | HEALTH__FED_CMS_OPEN_PAYMENTS_2023,B hard ID +gap,HEALTH__FED_HRSA_NPDB.WORK_STATE = HEALTH__FED_CMS_OPEN_PAYMENTS_2023.RECIPIENT_STATE [STATE] ; HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS_2023.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.PROGRAM_YEAR | HEALTH__FED_HRSA_NPDB.GRAD_YEAR | HEALTH__FED_HRSA_NPDB.ORIG_YEAR,HEALTH__FED_HRSA_NPDB x HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,
E59,HEALTH,nothing there,Do they have the worst quality ratings?,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER | HEALTH__FED_CMS_HOSPITAL_GENERAL,B hard ID,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER.RNDRNG_PRVDR_CCN = HEALTH__FED_CMS_HOSPITAL_GENERAL.CCN [CCN],,,,
E60,ENVIRONMENT+HEALTH,found a little,Do they die at a higher rate?,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,E no shared key,,,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_BEGIN_DATE | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.COMPL_PER_END_DATE,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES x ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"two hops: dialysis CCN to POS_OTHER for zip, POS zip to SDWA_PUB_WATER_SYSTEMS zip, then PWSID to violations"
E61,ENVIRONMENT+HEALTH,found a little,Do they also have worse finances?,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS | HEALTH__FED_CMS_HCRIS,C geo,,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.ID_NUMBER = ENVIRONMENT__FED_EPA_RCRA_RCRA_FACILITIES.ID_NUMBER [RCRA_ID] then ENVIRONMENT__FED_EPA_RCRA_RCRA_FACILITIES.ZIP_CODE = HEALTH__FED_CMS_HCRIS.ZIP_CODE [ZIP],ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.ACTUAL_RTC_DATE | ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS.DATE_VIOLATION_DETERMINED | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR,,
E62,HEALTH,found something,Are they still getting cited for missing sprinkler systems?,HEALTH__FED_NURSINGHOME411 | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,B hard ID,HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
E63,HEALTH,found a little,Does patient harm go up when leadership keeps turning over?,HEALTH__FED_NURSINGHOME411 | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,B hard ID,HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
E64,ECONOMICS+RAW,found a little,Does the money keep flowing to them anyway?,ECONOMICS__FED_FAC_SINGLE_AUDIT | FED_USASPENDING_ASSISTANCE_FULL,B hard ID,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_UEI = FED_USASPENDING_ASSISTANCE_FULL.recipient_uei [UEI/DUNS],,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDIT_YEAR | ECONOMICS__FED_FAC_SINGLE_AUDIT.FY_START_DATE | FED_USASPENDING_ASSISTANCE_FULL.action_date | FED_USASPENDING_ASSISTANCE_FULL.action_date_fiscal_year,,
E65,ECONOMICS+RAW,nothing there,Were they still getting paid after losing it?,ECONOMICS__FED_IRS_REVOCATION | FED_USASPENDING_ASSISTANCE_FULL,C geo,ECONOMICS__FED_IRS_REVOCATION.ZIP_CODE = FED_USASPENDING_ASSISTANCE_FULL.recipient_zip_code [ZIP],,ECONOMICS__FED_IRS_REVOCATION.REVOCATION_DATE | ECONOMICS__FED_IRS_REVOCATION.REVOCATION_POSTING_DATE | FED_USASPENDING_ASSISTANCE_FULL.action_date | FED_USASPENDING_ASSISTANCE_FULL.action_date_fiscal_year,,
E66,PROCUREMENT+RAW,nothing there,Are they still getting health grants?,PROCUREMENT__FED_SAM_EXCLUSIONS | FED_USASPENDING_ASSISTANCE_FULL,B hard ID,PROCUREMENT__FED_SAM_EXCLUSIONS.UEI = FED_USASPENDING_ASSISTANCE_FULL.recipient_uei [UEI/DUNS],,FED_USASPENDING_ASSISTANCE_FULL.action_date | FED_USASPENDING_ASSISTANCE_FULL.action_date_fiscal_year | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
E67,HEALTH+JUSTICE,nothing there,Do they also have fewer doctors available?,JUSTICE__XC_VERA_INCARCERATION_TRENDS | HEALTH__FED_CMS_NPPES,C geo,,HEALTH__FED_CMS_NPPES.NPI = HEALTH__FED_CMS_MAIN.NPI [NPI] then HEALTH__FED_CMS_MAIN.FIPS = JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS [COUNTY_FIPS],HEALTH__FED_CMS_NPPES.LAST_UPDATE_DATE | HEALTH__FED_CMS_NPPES.PROVIDER_ENUMERATION_DATE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR,,
E68,HEALTH,found something,Do they give very little free care to the poor despite huge profits?,HEALTH__FED_CMS_HCRIS,single table,,,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR,,
E69,HEALTH+RAW,part done,How much grant money reaches each patient?,HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO | HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS | FED_USASPENDING_ASSISTANCE_FULL,B hard ID,HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO.BHCMISID = HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS.BHCMISID [HRSA_ID] ; HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO.HEALTHCENTERZIPCODE = FED_USASPENDING_ASSISTANCE_FULL.recipient_zip_code [ZIP],HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS.BHCMISID = HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.BHCMIS_ORGANIZATION_ID [HRSA_ID] then HEALTH__FED_HRSA_HPSA_PRIMARY_CARE.COMMON_COUNTY_NAME = FED_USASPENDING_ASSISTANCE_FULL.recipient_county_name [COUNTY_NAME],FED_USASPENDING_ASSISTANCE_FULL.action_date | FED_USASPENDING_ASSISTANCE_FULL.action_date_fiscal_year,,
E70,HEALTH+RAW,nothing there,Are the worst-rated homes still getting VA contracts?,FED_USASPENDING_CONTRACTS_FULL_R2 | HEALTH__FED_NURSINGHOME411,D name match,FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_STATE_CODE = HEALTH__FED_NURSINGHOME411.STATE [STATE],,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
E71,HEALTH,found a little,Does more payment per person mean more opioid prescribing?,HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH__FED_CMS_PART_D_PRESCRIBERS,B hard ID,HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
E72,HOUSING,nothing there,Is it sitting empty more than in safer counties?,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DAMAGED_ZIP_CODE [ZIP],,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
E73,HEALTH+PROCUREMENT,found something,Do banned contractors turn out to also be doctors?,PROCUREMENT__FED_SAM_EXCLUSIONS | HEALTH__FED_CMS_NPPES,B hard ID,PROCUREMENT__FED_SAM_EXCLUSIONS.NPI = HEALTH__FED_CMS_NPPES.NPI [NPI],,HEALTH__FED_CMS_NPPES.LAST_UPDATE_DATE | HEALTH__FED_CMS_NPPES.PROVIDER_ENUMERATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
E74,HEALTH,part done,Is there a record of who the new owner is?,HEALTH__FED_CMS_HOME_HEALTH_OWNERS | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | HEALTH__FED_CMS_HOME_HEALTH,A measured,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATE_ID [measured 8933 shared] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ENROLLMENT_ID [measured 11224 shared] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI = HEALTH__FED_CMS_HOME_HEALTH_OWNERS.NPI [measured 11184 shared] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID [measured 8933 shared] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ENROLLMENT_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID [measured 11224 shared] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.NPI = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI [measured 11184 shared] ; HEALTH__FED_CMS_HOME_HEALTH_OWNERS.CCN = HEALTH__FED_CMS_HOME_HEALTH.CCN [CCN] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.CCN = HEALTH__FED_CMS_HOME_HEALTH.CCN [CCN],,HEALTH__FED_CMS_HOME_HEALTH.CERTIFICATION_DATE | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.INCORPORATION_DATE | HEALTH__FED_CMS_HOME_HEALTH_OWNERS.ASSOCIATION_DATE_OWNER,,
E75,HEALTH+RAW,found something,Did the worst chains get big pandemic bailout money?,FED_HRSA_PROVIDER_RELIEF_FUND | HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND | HEALTH__NURSING_HOME_RELIEF_BY_CHAIN | HEALTH__FED_NURSINGHOME411,A measured,HEALTH__FED_NURSINGHOME411.CHAIN_ID = HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_ID [measured 617 shared] ; HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_ID = HEALTH__FED_NURSINGHOME411.CHAIN_ID [measured 617 shared] ; FED_HRSA_PROVIDER_RELIEF_FUND.STATE = HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND.STATE [STATE] ; FED_HRSA_PROVIDER_RELIEF_FUND.PROVIDER_NAME = HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_NAME [ORG_NAME] ; FED_HRSA_PROVIDER_RELIEF_FUND.STATE = HEALTH__FED_NURSINGHOME411.STATE [STATE] ; HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND.PROVIDER_NAME = HEALTH__NURSING_HOME_RELIEF_BY_CHAIN.CHAIN_NAME [ORG_NAME] ; HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND.STATE = HEALTH__FED_NURSINGHOME411.STATE [STATE],,HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
